School URN,School Name,Region,Local Authority,Phase of Education,School Type
112543,Birk Hill Infant & Nursery School,East Midlands,Derbyshire,Primary,Community school
112578,Killamarsh Junior School,East Midlands,Derbyshire,Primary,Community school
137072,Hylands School,East of England,Essex,Secondary,Academy converter
141251,Pinewood School,East of England,Hertfordshire,Not applicable,Academy special converter
136281,Kemnal Technology College,London,Bromley,Secondary,Academy converter
136720,Welling School,London,Bexley,Secondary,Academy converter
138120,Kenton School,North East,Newcastle upon Tyne,Secondary,Academy converter
144271,Benfield School,North East,Newcastle upon Tyne,Secondary,Academy converter
119658,"Sacred Heart Roman Catholic Primary School, Church",North West,Lancashire,Primary,Voluntary aided school
138097,Cedar Mount Academy,North West,Manchester,Secondary,Academy sponsor led
143554,"St Mary's Catholic College, A Voluntary Academy",North West,Wirral,Secondary,Academy sponsor led
115908,Riders Junior School,South East,Hampshire,Primary,Community school
115909,Riders Infant School,South East,Hampshire,Primary,Community school
136407,Pilgrims' Cross CofE Aided Primary School,South East,Hampshire,Primary,Voluntary aided school
138167,Astor Secondary School,South East,Kent,Secondary,Academy converter
142609,Beechview Academy,South East,Buckinghamshire,Primary,Academy sponsor led
126481,"St George's Catholic Primary School, Warminster",South West,Wiltshire,Primary,Voluntary aided school
143137,Worle Community School,South West,North Somerset,Secondary,Academy sponsor led
141318,Bournville School,West Midlands,Birmingham,All-through,Academy sponsor led
146151,Southam St James CofE Academy,West Midlands,Warwickshire,Primary,Academy converter
106677,Toll Bar Primary School,Yorkshire and the Humber,Doncaster,Primary,Community school
135598,Liberty Academy,Yorkshire and the Humber,"Kingston upon Hull, City of",Secondary,Academy sponsor led
145943,Yewlands Academy,Yorkshire and the Humber,Sheffield,Secondary,Academy sponsor led
112851,Rosliston CofE Primary School,East Midlands,Derbyshire,Primary,Voluntary controlled school
121857,Alfred Lord Tennyson School-2 Sites,East Midlands,North Northamptonshire,Primary,Community school
122497,Eastlands Junior School (Welbeck Federation of Schools),East Midlands,Nottinghamshire,Primary,Community school
131322,Holly House Special School,East Midlands,Derbyshire,Special school,Community special school
135583,Samworth Church Academy,East Midlands,Nottinghamshire,Secondary,Academy sponsor led
135881,Nottingham Academy,East Midlands,Nottingham,Secondary,Academy sponsor led
137873,The Deepings School,East Midlands,Lincolnshire,Secondary,Academy converter
137931,South Wigston High School,East Midlands,Leicestershire,Secondary,Academy converter
139060,Lodge Park Academy,East Midlands,North Northamptonshire,Secondary,Academy sponsor led
139690,Silverstone UTC,East Midlands,West Northamptonshire,Secondary,University technical college
139956,The Holgate Academy,East Midlands,Nottinghamshire,Secondary,Academy sponsor led
142485,Northampton International Academy,East Midlands,West Northamptonshire,Secondary,Free schools
143246,Woodstock Primary Academy,East Midlands,Leicester,Primary,Academy converter
145132,City of Derby Academy,East Midlands,Derby,Secondary,Academy sponsor led
145847,Hillocks Primary Academy,East Midlands,Nottinghamshire,Primary,Academy sponsor led
145952,The Bulwell Academy,East Midlands,Nottingham,Secondary,Academy sponsor led
145954,The Gainsborough Academy,East Midlands,Lincolnshire,Secondary,Academy sponsor led
145982,Cottons Farm Primary Academy,East Midlands,Derby,Primary,Academy sponsor led
146080,Lakeside Primary Academy,East Midlands,Derby,Primary,Academy sponsor led
146374,Kirk Hallam Community Academy,East Midlands,Derbyshire,Secondary,Academy converter
147902,Countesthorpe Academy,East Midlands,Leicestershire,Secondary,Academy converter
148339,Our Lady's Catholic Primary School,East Midlands,North Northamptonshire,Primary,Academy sponsor led
148538,Alvaston Moor Academy,East Midlands,Derby,Secondary,Academy sponsor led
109509,Leedon Lower School,East of England,Central Bedfordshire,Primary,Community school
110602,Bassingbourn Primary School,East of England,Cambridgeshire,Primary,Community school
135904,City Academy Norwich,East of England,Norfolk,Secondary,Academy sponsor led
135946,All Saints Academy Dunstable,East of England,Central Bedfordshire,Secondary,Academy sponsor led
137224,Mount Grace School,East of England,Hertfordshire,Secondary,Academy converter
137527,Melbourn Village College,East of England,Cambridgeshire,Secondary,Academy converter
139181,The Bromfords School,East of England,Essex,Secondary,Academy converter
139272,Neale-Wade Academy,East of England,Cambridgeshire,Secondary,Academy sponsor led
142633,The Bishop's Church of England Primary Academy,East of England,Norfolk,Primary,Academy sponsor led
143144,Southchurch High School,East of England,Southend-on-Sea,Secondary,Academy sponsor led
143522,Wroughton Junior Academy,East of England,Norfolk,Primary,Academy sponsor led
144216,The Willows Primary School,East of England,Suffolk,Primary,Academy converter
144600,Lime Academy Watergall,East of England,Peterborough,Primary,Academy sponsor led
145535,Greyfriars Academy,East of England,Norfolk,Primary,Academy converter
145559,Roman Hill Primary School,East of England,Suffolk,Primary,Academy sponsor led
146757,Winterton Primary School and Nursery,East of England,Norfolk,Primary,Academy sponsor led
146961,Helmingham Primary School and Nursery,East of England,Suffolk,Primary,Academy sponsor led
147031,Castle View School,East of England,Essex,Secondary,Academy converter
147603,Alton Park Junior School,East of England,Essex,Primary,Academy converter
148119,Southtown Primary School,East of England,Norfolk,Primary,Academy converter
148232,Newton Flotman Church of England Primary Academy,East of England,Norfolk,Primary,Academy sponsor led
148236,The Harbour School,East of England,Cambridgeshire,Special school,Academy special sponsor led
102861,King Solomon High School,London,Redbridge,Secondary,Voluntary aided school
137078,Hewens College,London,Hillingdon,Secondary,Academy converter
140209,Oasis Academy Arena,London,Croydon,Secondary,Academy sponsor led
145060,Griffin Primary School,London,Wandsworth,Primary,Academy sponsor led
145121,Park Academy West London,London,Hillingdon,Secondary,Academy sponsor led
122328,Haydon Bridge High School,North East,Northumberland,Secondary,Foundation school
135088,Harrowgate Hill Primary School,North East,Darlington,Primary,Community school
135886,NCEA Duke's Secondary School,North East,Northumberland,Secondary,Academy sponsor led
137598,Berwick Academy,North East,Northumberland,Secondary,Academy converter
138711,Outwood Academy Ormesby,North East,Middlesbrough,Secondary,Academy converter
139195,Skerne Park Academy,North East,Darlington,Primary,Academy sponsor led
140867,English Martyrs Catholic School and Sixth Form College,North East,Hartlepool,Secondary,Academy converter
144358,Mary Astell Academy,North East,Newcastle upon Tyne,Pupil referral unit,Academy alternative provision sponsor led
144937,Washington Academy,North East,Sunderland,Secondary,Academy converter
145490,Heworth Grange School,North East,Gateshead,Secondary,Academy sponsor led
146640,Trinity Academy New Bridge,North East,Sunderland,Special school,Academy special sponsor led
148532,St Hild's Church of England School,North East,Hartlepool,Secondary,Academy sponsor led
148629,"St Joseph's Catholic Primary School, Coundon",North East,County Durham,Primary,Academy converter
148874,Langley Park Primary School,North East,County Durham,Primary,Academy converter
105913,Peel Hall Primary School,North West,Salford,Primary,Community school
106109,St Thomas' Church of England Primary School Stockport,North West,Stockport,Primary,Voluntary controlled school
119813,Baines School,North West,Lancashire,Secondary,Voluntary aided school
135508,Great Academy Ashton,North West,Tameside,Secondary,Academy sponsor led
136285,Seaton Academy,North West,Cumberland,Primary,Academy converter
136411,Birkenhead Park School,North West,Wirral,Secondary,Academy sponsor led
138698,Beis Yaakov High School,North West,Salford,Secondary,Academy converter
139953,Sir William Stanier School,North West,Cheshire East,Secondary,Academy sponsor led
