LA,Ofsted URN,URN
Ealing,118032,500001
Lincolnshire,EY239703,500085
Lincolnshire,208542,500087
Cheshire West and Chester,EY266867,500092
Lincolnshire,EY276582,500103
Lincolnshire,EY403312,501320
Nottinghamshire,EY306144,509283
Lincolnshire,EY283152,511076
Nottinghamshire,253341,511815
Wakefield,EY417372,514985
Wakefield,EY423579,516191
Lambeth,EY104337,531502
Wandsworth,EY343473,531855
Wandsworth,EY253386,531861
Wandsworth,EY486696,531901
Wandsworth,EY378819,531903
Wandsworth,EY404833,531909
Wandsworth,EY485134,531923
Barking and Dagenham,EY258558,531980
Bromley,EY320012,532316
Ealing,2529713,532486
Enfield,EY287070,532591
Lincolnshire,208840,533128
Lincolnshire,EY284807,533131
Lincolnshire,203357,533132
Lincolnshire,EY429483,533133
Lincolnshire,EY439928,533136
Lincolnshire,EY312363,533139
Lincolnshire,EY362474,533141
Lincolnshire,EY357067,533143
Lincolnshire,209183,533145
Lincolnshire,208688,533148
Lincolnshire,209177,533150
Lincolnshire,209168,533154
Lincolnshire,155266,533155
Rochdale,EY501117,534586
Stockport,EY414752,534710
Stockport,EY364421,534724
Stockport,EY291300,534726
Stockport,EY216498,534727
Stockport,EY376909,534734
Stockport,EY433303,534738
Stockport,EY307013,534747
Wigan,534949,534949
Barnsley,302718,534961
Barnsley,302799,534964
Barnsley,302681,534965
Barnsley,EY101344,534972
Barnsley,EY102073,534973
Barnsley,302795,534978
Barnsley,EY355509,534979
Barnsley,EY331980,534980
Barnsley,EY321312,534981
Barnsley,EY258097,534982
Barnsley,EY436001,534989
Wakefield,EY558085,535539
Wakefield,2641681,535544
Wakefield,2648774,535562
Wakefield,2651029,535568
Isles of Scilly,EY293425,535789
"Bristol, City of",EY350617,535985
"Bristol, City of",EY229924,535996
"Bristol, City of",EY298883,535997
"Bristol, City of",EY308897,536000
"Bristol, City of",EY397275,536017
South Gloucestershire,149680,536160
South Gloucestershire,136195,536198
South Gloucestershire,136268,536208
South Gloucestershire,136382,536209
South Gloucestershire,136301,536214
South Gloucestershire,EY371314,536217
South Gloucestershire,136132,536218
South Gloucestershire,EY347827,536237
South Gloucestershire,EY316072,536239
South Gloucestershire,159261,536245
South Gloucestershire,EY428774,536273
South Gloucestershire,EY350710,536277
South Gloucestershire,136137,536305
South Gloucestershire,EY428089,536311
South Gloucestershire,136142,536313
North East Lincolnshire,EY100272,536560
North Yorkshire,400630,536785
North Yorkshire,EY335857,536790
North Yorkshire,EY371170,536791
North Yorkshire,EY363234,536801
North Yorkshire,955624,536803
North Yorkshire,400691,536805
North Yorkshire,EY363818,536813
North Yorkshire,EY243498,536815
North Yorkshire,400998,536820
North Yorkshire,400978,536827
North Yorkshire,EY391806,536831
North Yorkshire,EY229806,536833
North Yorkshire,EY330641,536834
North Yorkshire,401471,536835
North Yorkshire,400759,536836
North Yorkshire,EY253928,536852
North Yorkshire,401162,536857
North Yorkshire,EY452551,536863
North Yorkshire,EY243432,536866
North Yorkshire,EY343367,536873
North Yorkshire,EY386352,536883
North Yorkshire,400652,536884
North Yorkshire,EY462767,536894
North Yorkshire,400805,536897
Bedford,EY406530,537102
Bedford,259871,537103
Bedford,EY338224,537104
Milton Keynes,2555188,537413
Milton Keynes,EY454963,537414
Milton Keynes,EY404234,537415
Milton Keynes,EY494674,537416
Milton Keynes,EY371557,537420
Milton Keynes,EY387821,537422
Milton Keynes,EY363252,537425
Milton Keynes,EY552053,537426
Milton Keynes,EY472437,537427
Milton Keynes,141709,537428
Milton Keynes,EY406984,537431
Milton Keynes,EY447212,537432
Milton Keynes,EY546099,537434
Milton Keynes,EY546281,537436
Milton Keynes,TY0822019,537437
Milton Keynes,EY428564,537438
Milton Keynes,EY539607,537439
Milton Keynes,EY218425,537447
Dorset,141084,537790
Dorset,141049,537838
Dorset,EY365825,537849
Dorset,EY314432,537855
Dorset,154254,537856
Dorset,138714,537868
Dorset,153374,537886
Dorset,EY375347,537888
"Bournemouth, Christchurch and Poole",EY397753,537895
Dorset,EY393727,537907
Dorset,EY428766,537909
Dorset,EY313357,537915
Dorset,144249,537916
Dorset,EY441610,537921
Dorset,EY379946,537924
Dorset,EY446631,537926
Dorset,141044,537935
Dorset,EY408725,537937
"Bournemouth, Christchurch and Poole",EY239371,537940
Dorset,EY340713,537944
"Bournemouth, Christchurch and Poole",EY429345,537945
Dorset,139242,537950
Dorset,EY447826,537951
"Bournemouth, Christchurch and Poole",EY396101,537952
Dorset,144184,537955
Dorset,EY462127,537956
Dorset,EY461699,537957
Portsmouth,143272,539276
Portsmouth,EY431383,539277
West Berkshire,EY391733,540568
West Berkshire,EY259909,540576
West Berkshire,EY339243,540579
West Berkshire,EY400867,540581
West Berkshire,EY424598,540591
West Berkshire,EY339022,540593
West Berkshire,EY321157,540595
West Berkshire,EY463427,540606
West Berkshire,EY433711,540618
Slough,EY219728,540700
Slough,EY467198,540702
Slough,105375,540708
Peterborough,EY286621,541161
Peterborough,EY100941,541164
