UKPRN,Institution Name,Institution Type
10000146,Bexley London Borough Council,Local Authority
10000599,Beaumont College - A Salutem/Ambito College,Special post 16 institution
10000896,Bristol City Council,Local Authority
10000950,Brooklands College,General Further Education College
10001538,Coleg Elidyr,Special post 16 institution
10001723,Coventry City Council,Local Authority
10001848,Darlington Borough Council,Local Authority
10001867,The David Lewis Centre,Special post 16 institution
10001951,Devon County Council,Local Authority
10002064,Durham County Council,Local Authority
10002396,Fairfield Farm College (Fairfield Farm Trust),Special post 16 institution
10002861,HALTON BOROUGH COUNCIL,Local Authority
10003775,Langdon College,Special post 16 institution
10003872,Leicestershire County Council,Local Authority
10004175,Manchester City Council,Local Authority
10004444,The Mount Camphill Community Ltd,Special post 16 institution
10004502,St Piers College (Young Epilepsy),Special post 16 institution
10004841,Oakwood Specialist College (Phoenix Learning Care Ltd),Special post 16 institution
10005074,Peterborough City Council,Local Authority
10005521,Romney Resource 2000 Limited (Romney Resource Centre),Independent learning provider
10005522,Roots and Shoots,Independent learning provider
10005735,Seetec Business Technology Centre Limited,Independent learning provider
10006199,St. John's College (Brighton),Special post 16 institution
10006374,Strathmore College,Special post 16 institution
10007432,West Sussex County Council,Local Authority
10007594,Women's Technology Training Limited,Independent learning provider
10008135,Buzz Learning Limited,Independent learning provider
10008456,Regent College,Special post 16 institution
10009111,Orpheus Centre,Special post 16 institution
10009120,Condover College Limited,Special post 16 institution
10012804,Cambian Lufton College,Special post 16 institution
10012814,Henshaws College,Special post 16 institution
10012825,Infocus College,Special post 16 institution
10014132,Pure Innovations Trading As Pure College,Special post 16 institution
10016839,Moat House,Other
10019237,Activate,Special post 16 institution
10021185,Groundwork South and North Tyneside,Special post 16 institution
10024163,Area 51 Education Ltd,Special post 16 institution
10024294,Cheshire West and Chester Council,Local Authority
10024771,Exeter Royal Academy for Deaf Education,Special post 16 institution
10025289,Green Corridor,Special post 16 institution
10025914,Glasshouse College,Special post 16 institution
10032017,Community Learning In Partnership (CLIP) CIC,Independent learning provider
10032898,Trinity Specialist College,Special post 16 institution
10038981,Sheiling College,Special post 16 institution
10040374,St Martins Centre (St Roses School),Special post 16 institution
10041294,White Rocks Farm,Special post 16 institution
10044040,Learning for Life,Special post 16 institution
10046840,Heart of Birmingham Vocational College,Special post 16 institution
10048022,Percy Hedley Hedleys College,Special post 16 institution
10055015,LifeBridge ASEND,Special post 16 institution
10055371,Community College Initiative Ltd,Special post 16 institution
10055479,Birtenshaw,Special post 16 institution
10056799,Trinity Post 16 Solutions Limited,Special post 16 institution
10056854,The Hive College,Special post 16 institution
10057205,The Ridge Employability College,Special post 16 institution
10063538,Chadsgrove Educational Trust Specialist College,Special post 16 institution
10067359,Victoria College,Special post 16 institution
10067684,Routes4Life Limited,Special post 16 institution
10067747,Woodbridge College,Special post 16 institution
10067932,Phoenix Autism Trust,Special post 16 institution
10068038,Oakbridge Special Education,Special post 16 institution
10080825,SV Academy Ltd,Independent learning provider
10081018,Future Finders Employability College,Special post 16 institution
10082882,Future Horizons Leeds Ltd,Special post 16 institution
10083399,ROTHERHAM OPPORTUNITIES COLLEGE,Special post 16 institution
10083456,Grow 19 LTD,Special post 16 institution
10083544,FORWARD2 EMPLOYMENT LIMITED,Special post 16 institution
10083841,Q+,Special post 16 institution
10088608,Willow Green CIO,Special post 16 institution
10088810,Employ My Ability (EMA) Ltd,Special post 16 institution
10090827,Active Learning Trust Linc 19 - 25,Special post 16 institution
10043467,Bridge Academy,Academy alternative provision converter
10055493,Haybrook College,Academy alternative provision converter
10057630,The Venn Boulevard Centre,Academy alternative provision converter
10061807,Aspire,Academy alternative provision converter
