course_identifier,lead_provider_name
npq-headship,Ambition Institute
npq-headship,Best Practice Network
npq-headship,Church of England
npq-headship,LLSE
npq-headship,National Institute of Teaching
npq-headship,Teach First
npq-headship,UCL Institute of Education
npq-senior-leadership,Ambition Institute
npq-senior-leadership,Best Practice Network
npq-senior-leadership,Church of England
npq-senior-leadership,LLSE
npq-senior-leadership,National Institute of Teaching
npq-senior-leadership,Teach First
npq-senior-leadership,UCL Institute of Education
npq-leading-teaching,Ambition Institute
npq-leading-teaching,Best Practice Network
npq-leading-teaching,Church of England
npq-leading-teaching,LLSE
npq-leading-teaching,National Institute of Teaching
npq-leading-teaching,Teach First
npq-leading-teaching,UCL Institute of Education
npq-leading-teaching-development,Ambition Institute
npq-leading-teaching-development,Best Practice Network
npq-leading-teaching-development,Church of England
npq-leading-teaching-development,LLSE
npq-leading-teaching-development,National Institute of Teaching
npq-leading-teaching-development,Teach First
npq-leading-teaching-development,UCL Institute of Education
npq-leading-behaviour-culture,Ambition Institute
npq-leading-behaviour-culture,Best Practice Network
npq-leading-behaviour-culture,Church of England
npq-leading-behaviour-culture,LLSE
npq-leading-behaviour-culture,National Institute of Teaching
npq-leading-behaviour-culture,Teach First
npq-leading-behaviour-culture,UCL Institute of Education
npq-early-headship-coaching-offer,Ambition Institute
npq-early-headship-coaching-offer,Best Practice Network
npq-early-headship-coaching-offer,Church of England
npq-early-headship-coaching-offer,LLSE
npq-early-headship-coaching-offer,National Institute of Teaching
npq-early-headship-coaching-offer,Teach First
npq-early-headship-coaching-offer,UCL Institute of Education
npq-additional-support-offer,Ambition Institute
npq-additional-support-offer,Best Practice Network
npq-additional-support-offer,Church of England
npq-additional-support-offer,LLSE
npq-additional-support-offer,National Institute of Teaching
npq-additional-support-offer,Teach First
npq-additional-support-offer,UCL Institute of Education
npq-early-years-leadership,Ambition Institute
npq-early-years-leadership,National Institute of Teaching
npq-early-years-leadership,Teach First
npq-early-years-leadership,UCL Institute of Education
npq-leading-literacy,Ambition Institute
npq-leading-literacy,National Institute of Teaching
npq-leading-literacy,Teach First
npq-leading-literacy,UCL Institute of Education
npq-executive-leadership,Ambition Institute
npq-executive-leadership,Best Practice Network
npq-executive-leadership,Church of England
npq-executive-leadership,LLSE
npq-executive-leadership,National Institute of Teaching
npq-executive-leadership,Teach First
npq-executive-leadership,UCL Institute of Education
npq-leading-primary-mathematics,Ambition Institute
npq-leading-primary-mathematics,Church of England
npq-leading-primary-mathematics,LLSE
npq-leading-primary-mathematics,National Institute of Teaching
npq-leading-primary-mathematics,Teach First
npq-leading-primary-mathematics,UCL Institute of Education
npq-senco,Ambition Institute
npq-senco,Best Practice Network
npq-senco,Church of England
npq-senco,National Institute of Teaching
npq-senco,Teach First
npq-senco,UCL Institute of Education
