course-group-name,schedule-identifier,schedule-name,schedule-cohort-year,declaration-types,schedule-applies-from,schedule-applies-to
ehco,npq-ehco-june,NPQ EHCO June,2023,started|retained-1|retained-2|completed,2024-06-01,2024-06-01
specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,started|retained-1|completed,2022-10-01,2022-11-01
leadership,npq-leadership-autumn,NPQ Leadership Autumn,2022,started|retained-1|retained-2|completed,2022-10-01,2022-11-01
ehco,npq-ehco-june,NPQ EHCO June,2022,started|retained-1|retained-2|completed,2023-06-01,2023-06-01
ehco,npq-ehco-march,NPQ EHCO March,2022,started|retained-1|retained-2|completed,2023-03-01,2023-03-01
leadership,npq-leadership-spring,NPQ Leadership Spring,2022,started|retained-1|retained-2|completed,2023-01-01,2023-01-01
ehco,npq-ehco-december,NPQ EHCO December,2022,started|retained-1|retained-2|completed,2022-12-01,2022-12-01
ehco,npq-ehco-june,NPQ EHCO June,2021,started|retained-1|retained-2|completed,2022-06-01,2022-06-01
leadership,npq-leadership-autumn,NPQ Leadership Autumn,2023,started|retained-1|retained-2|completed,2023-10-01,2023-11-01
specialist,npq-specialist-spring,NPQ Specialist Spring,2022,started|retained-1|completed,2023-01-01,2023-01-01
leadership,npq-leadership-spring,NPQ Leadership Spring,2023,started|retained-1|retained-2|completed,2024-01-01,2024-01-01
specialist,npq-specialist-autumn,NPQ Specialist Autumn,2023,started|retained-1|completed,2023-10-01,2023-11-01
specialist,npq-specialist-spring,NPQ Specialist Spring,2023,started|retained-1|completed,2024-01-01,2024-01-01
ehco,npq-ehco-november,NPQ EHCO November,2022,started|retained-1|retained-2|completed,2022-10-01,2022-11-01
ehco,npq-ehco-november,NPQ EHCO November,2023,started|retained-1|retained-2|completed,2023-11-01,2023-11-01
ehco,npq-ehco-december,NPQ EHCO December,2023,started|retained-1|retained-2|completed,2023-12-01,2023-12-01
leadership,npq-leadership-spring,NPQ Leadership Spring,2021,started|retained-1|retained-2|completed,2022-01-01,2022-01-01
ehco,npq-ehco-march,NPQ EHCO March,2023,started|retained-1|retained-2|completed,2024-03-01,2024-03-01
specialist,npq-specialist-autumn,NPQ Specialist Autumn,2021,started|retained-1|completed,2021-11-01,2021-11-01
leadership,npq-leadership-autumn,NPQ Leadership Autumn,2021,started|retained-1|retained-2|completed,2021-11-01,2021-11-01
specialist,npq-specialist-spring,NPQ Specialist Spring,2021,started|retained-1|completed,2022-01-01,2022-01-01
support,npq-aso-november,NPQ ASO November,2021,started|retained-1|retained-2|completed,01/11/2021,01/11/2021
support,npq-aso-december,NPQ ASO December,2021,started|retained-1|retained-2|completed,01/12/2021,01/12/2021
support,npq-aso-march,NPQ ASO March,2021,started|retained-1|retained-2|completed,01/03/2022,01/03/2022
support,npq-aso-june,NPQ ASO June,2021,started|retained-1|retained-2|completed,01/06/2022,01/06/2022
ehco,npq-ehco-june,NPQ EHCO June,2024,started|retained-1|retained-2|completed,2025-06-01,2025-06-01
leadership,npq-leadership-autumn,NPQ Leadership Autumn,2024,started|retained-1|retained-2|completed,2024-10-01,2024-11-01
leadership,npq-leadership-spring,NPQ Leadership Spring,2024,started|retained-1|retained-2|completed,2025-01-01,2025-01-01
specialist,npq-specialist-autumn,NPQ Specialist Autumn,2024,started|retained-1|completed,2024-10-01,2024-11-01
specialist,npq-specialist-spring,NPQ Specialist Spring,2024,started|retained-1|completed,2025-01-01,2025-01-01
ehco,npq-ehco-november,NPQ EHCO November,2024,started|retained-1|retained-2|completed,2024-11-01,2024-11-01
ehco,npq-ehco-december,NPQ EHCO December,2024,started|retained-1|retained-2|completed,2024-12-01,2024-12-01
ehco,npq-ehco-march,NPQ EHCO March,2024,started|retained-1|retained-2|completed,2025-03-01,2025-03-01
