Legal accredited name,Operating name
Ambition Teacher Training,Ambition Teacher Training
Anglia Ruskin University Higher Education Corporation,Anglia Ruskin University
Archway Learning Trust,Bluecoat SCITT Alliance Nottingham
Ark Schools,Ark Teacher Training
Bath Spa University,Bath Spa University
Beacon Multi-Academy Trust,NELTA
Best Practice Network Ltd,Best Practice Network
Birmingham City University,Birmingham City University
Birmingham Newman University,Birmingham Newman University
Bishop Bewick Catholic Education Trust,Sacred Heart Newcastle SCITT
Bishop Challoner Catholic College,Bishop Challoner Training School
Bishop Grosseteste University,Bishop Grosseteste University
Brandlehow Primary School,Wandsworth Primary Schools' Consortium
Bridge Academy Trust,Mid Essex Initial Teacher Training
Bright Futures Educational Trust,Bright Futures SCITT
Cabot Learning Federation,Five Counties SCITT
Canterbury Christ Church University,Canterbury Christ Church University
Changing Lives Learning Trust,One Cumbria
Chiltern Learning Trust,Chiltern Training Group
Chorus Education Trust,The National Modern Languages SCITT
"Christ Church Primary School, Hampstead",Teaching London: LDBS SCITT
City College Norwich,Norfolk Teacher Training Centre
Coast and Vale Learning Trust,Scarborough Teaching Alliance
Colegrave Primary School,SCITT in East London Schools (SCITTELS)
Community First Academy Trust,Kingsbridge EIP SCITT
Coventry University,National Institute of Teaching and Education
Delta Academies Trust,Exchange Teacher Training
Dr Challoner's Grammar School,Astra SCITT
East Anglian Schools Trust,EAST SCITT
East Midlands Education Trust,East Midlands Teacher Training Partnership
Edge Hill University,Edge Hill University
Education Management Direct Limited,Educate Group - Initial Teacher Training
Education South West,SWIFT Teacher Training
Epping Forest Schools Partnership Trust,West Essex SCITT
e-Qualitas Professional Services,e-Qualitas
Essex and Thames Education,Essex and Thames SCITT
Exceed Academies Trust,Exceed SCITT
Farnborough College of Technology,University Centre Farnborough
Future Academies,Future Teacher Training
"Goldsmiths, University of London","Goldsmiths, University of London"
GORSE Academies Trust,GORSE SCITT
Great Academies Education Trust,Pioneers Partnership SCITT
Great Heights Trust,AA Teamworks West Yorkshire SCITT
Harrison Primary School,Fareham and Gosport Primary SCITT
The Four Stones Multi Academy Trust,Haybridge SCITT
HISP Multi Academy Trust,Inspiring Future Teachers
Holmes Chapel Comprehensive School,Cheshire East SCITT
Holy Family Catholic Primary School,Primary Catholic Partnership SCITT
Impact MAT,Bromley Schools' Collegiate
Inspiring Futures Partnership Trust,Chepping View Primary Academy SCITT
Inspiring Leaders Ltd,Inspiring Leaders - Teacher Training
King Edward VI Academy Trust Birmingham,King Edward's Consortium
King's College London,King's College London
Kingston University Higher Education Corporation,Kingston University
Leeds Beckett University,Leeds Beckett University
Leeds Trinity University,Leeds Trinity University
Leigh Academies Trust,Kent and Medway Training - KMT
Liverpool Hope University,Liverpool Hope University
Liverpool John Moores University,Liverpool John Moores University
London Metropolitan University,London Metropolitan University
London School of Jewish Studies,London School of Jewish Studies (LSJS)
Loughborough University,Loughborough University
Lydiate Learning Trust,Associated Merseyside Partnership SCITT
Manchester Metropolitan University,Manchester Metropolitan University
Matrix Academy Trust,Barr Beacon SCITT
Meridian Trust,The Cambridge Partnership
Middlesex University,Middlesex University
Mulberry Schools Trust,Mulberry College of Teaching
North Lincolnshire Council,North Lincolnshire SCITT Partnership
North Tyneside Council,North Tyneside SCITT
Northampton School for Boys,Northampton Teacher Training Partnership
Notre Dame High School,The Sheffield SCITT
Nottingham Trent University,Nottingham Trent University
Nova Education Trust,Nottinghamshire Torch SCITT
Oakthorpe Primary School,2Schools Consortium
Oxford Brookes University,Oxford Brookes University
Partnership Learning,Partnership London SCITT (PLS)
Prestolee Multi Academy Trust,Prestolee SCITT
REAch2 Academy Trust,REAch Teach Primary Partnership
Red Kite Learning Trust,Red Kite Teacher Training
River Learning Trust,OTT SCITT
Roehampton University,University of Roehampton
