Legal accredited name,Operating name,
Alban Academies Trust,Alban Federation SCITT,
Ambition Institute,Ambition Institute,
Anglia Ruskin University Higher Education Corporation,Anglia Ruskin University,
Archway Learning Trust,Bluecoat SCITT Alliance Nottingham,
ARK Schools,ARK Teacher Training,
Bath Spa University,Bath Spa University,
Beacon Multi-Academy Trust Limited,NELTA,
Beatrix Potter Primary School,Wandsworth Primary Schools’ Consortium,
Best Practice Network Ltd,Best Practice Network,
Birmingham City University,Birmingham City University,
Bishop Bewick Catholic Education Trust,Sacred Heart Newcastle SCITT,
Bishop Challoner Catholic College,Bishop Challoner Catholic College,
Bishop Grosseteste University,Bishop Grosseteste University,
Boleyn Trust,London District East SCITT,
Bridge Academy Trust,Mid Essex Initial Teacher Training,
Bright Futures Educational Trust,Bright Futures SCITT,
Cabot Learning Federation,Cabot Learning Federation SCITT,
Cambridge Meridian Academies Trust,The Cambridge Partnership,
Canterbury Christ Church University,Canterbury Christ Church University,
Chiltern Learning Trust,Chiltern Training Group,
Chorus Education Trust,The National Modern Languages SCITT,
Coast and Vale Learning Trust,Scarborough Teaching Alliance,
Colchester County High School for Girls,Colchester Teacher Training Consortium,
Colegrave Primary School,SCITT in East London Schools (SCITTELS),
Community First Academy Trust,Kingsbridge EIP SCITT,
Coventry University,Coventry University,
Crispin School Academy,Mid Somerset Consortium for Teacher Training,
Delta Academies Trust,Delta Academies Trust,
Discovery Schools Academies Trust Limited,Inspiring Leaders - Teacher Training,
Dr Challoner’s Grammar School,Astra SCITT,
East Anglian Schools Trust,EAST SCITT,
East Midlands Education Trust,East Midlands Teacher Training Partnership,
Eden Learning Trust,Durham SCITT,
Edge Hill University,Edge Hill University,
Education Management Direct Ltd,Educate Group Initial Teacher Training,
Education South West,Education South West,
Epping Forest Schools Partnership Trust,West Essex SCITT,
e-Qualitas Professional Services Ltd,e-Qualitas,
Essex & Thames Education,Essex and Thames SCITT,
Exceed Academies Trust,Exceed SCITT,
Farnborough College of Technology,Farnborough College of Technology,
Future Academies,Future Teacher Training,
"Goldsmiths, University of London","Goldsmiths, University of London",
GORSE Academies Trust,GORSE SCITT,
Great Academies Education Trust,Pioneers Partnership SCITT,
Harris Federation,Harris ITT,
Harrison Primary School,Fareham and Gosport Primary SCITT,
Haybridge High School,Haybridge Alliance SCITT,
Hibernia College UK Limited,Tes Institute,
HISP Multi Academy Trust,Inspiring Future Teachers,
Holmes Chapel Comprehensive School,Cheshire East SCITT,
"Holy Family Catholic Primary School, Southampton",Primary Catholic Partnership SCITT,
Impact MAT,Bromley Schools’ Collegiate,
Inspiring Futures Partnership Trust,Chepping View Primary Academy SCITT,
John Taylor MAT,The John Taylor SCITT,
King Edward VI Academy Trust Birmingham,King Edward’s Consortium,
King’s College London,King’s College London,
Kingston University,Kingston University,
Leeds Beckett University,Leeds Beckett University,
Leeds Trinity University,Leeds Trinity University,
Leigh Academies Trust,Kent and Medway Training,
Liverpool Hope University,Liverpool Hope University,
Liverpool John Moores University,Liverpool John Moores University,
London Metropolitan University,London Metropolitan University,
London School of Jewish Studies,London School of Jewish Studies (LSJS),
Loughborough University,Loughborough University,
Luminate Education Group,Luminate Partnership for ITT,
Lydiate Learning Trust,Associated Merseyside Partnership SCITT,
Manchester Metropolitan University,Manchester Metropolitan University,
Matrix Academy Trust,Barr Beacon SCITT,
Middlesex Learning Trust,Compton SCITT,
Middlesex University,Middlesex University,
Mulberry Schools Trust,Mulberry College of Teaching,
Newman University,Newman University,
North Lincolnshire Council,North Lincolnshire SCITT Partnership,
North Tyneside Council,North Tyneside SCITT,
Northampton School for Boys,Northampton Teacher Training Partnership,
Norwich City College of Further and Higher Education,Norfolk Teacher Training Centre,
Notre Dame High School (Sheffield),The Sheffield SCITT,
Nottingham Trent University,Nottingham Trent University,
Nova Education Trust,Nottinghamshire Torch SCITT,
Oakthorpe Primary School,2Schools Consortium,
Oxford Brookes University,Oxford Brookes University,
Partnership Learning,Partnership London SCITT (PLS),
Prestolee Multi Academy Trust,Prestolee SCITT,
REAch2 Academy Trust,REAch2 Academy Trust,
Red Kite Learning Trust,Red Kite Teacher Training,
River Learning Trust,Oxfordshire Teacher Training,
Roehampton University,Roehampton University,
Royal Borough of Windsor & Maidenhead,Royal Borough of Windsor & Maidenhead SCITT,
Royal Latin School,Buckingham Partnership,
School Led Development Trust,National Institute of Teaching,
Severn Academies Educational Trust,Stourport SCITT,
Sheffield Hallam University,Sheffield Hallam University,
"Shelley College, a SHARE Academy",Calderdale & Kirklees Teaching School,
Sidney Stringer Multi Academy Trust,The Coventry SCITT,
Somerset County Council,Somerset SCITT Consortium,
South Farnham Educational Trust,Surrey South Farnham SCITT,
South Pennine Academies,Huddersfield Horizon SCITT,
St George’s Academy,Titan Partnership Ltd,
St Mary & St Paul’s CofE Primary School,Mersey Boroughs ITT Partnership,
St Mary’s College,St Mary’s College,
St Mary’s University,St Mary’s University,
St Michael’s Church of England Primary School,Teaching London: LDBS SCITT,
St Peter’s Catholic High School and Sixth Form Centre,Gloucestershire Initial Teacher Education Partnership (GITEP),
St. Edmund’s Nursery & Children’s Centre,Bradford Birth to 19 SCITT,
St. Joseph’s College,St. Joseph’s College Stoke Secondary Partnership,
Staffordshire University,Staffordshire University,
Star Academies,Star Teachers SCITT,
Stockton-on-Tees Borough Council,Stockton-on-Tees Teacher Training Partnership,
Suffolk County Council,Suffolk and Norfolk Secondary SCITT,
Summit Learning Trust,South Birmingham SCITT,
Tarka Learning Partnership,Devon Primary SCITT,
Teach First,Teach First,
TEACH Poole,Poole SCITT,
Teesside University,Teesside University ITT,
The Arthur Terry Learning Partnership,Arthur Terry SCITT,
The Bay Learning Trust,Ripley ITT,
The Cam Academy Trust,"The Cambridge Teaching Schools Network, CTSN SCITT",
