URN,OfstedURN,EstablishmentName,EstablishmentPostcode
524929,,A FOR E LIMITED T/A THE GRANTHAM PREP. SCHOOL,NG31 7UF
520536,,ABBERLEY HALL PRE-PREP,WR6 6DD
511614,EY234164,ABBEY SCHOOL NURSERY,TQ1 4PR
510356,EY337315,ABBOTSBURY SCHOOL,TQ12 2JD
106386,,ABBOTSFORD PREPARATORY SCHOOL,M41 5PR
113003,EY020126,ABBOTSHOLME SCHOOL,ST14 5BS
520025,6000,ABERDOUR SCHOOL NURSERY,KT20 6AJ
581740,EY290873,ABINGDON PREPARATORY SCHOOL,OX13 5NX
108300,,ACKWORTH SCHOOL,WF7 7LT
704600,2613481,ADORABLE CHILDCARE NURSERY,RM10 9LS
134469,553272,AFIFAH SCHOOL,M16 9GN
582156,2624458,AKS BABY & TODDLER ROOM,FY8 1DR
700086,EY466213,AKTIVA CAMPS AT ANDRE MALRAUX,GU24 9NS
130244,130244,AL AMEEN NURSERY,B11 2JR
134429,,AL MUMIN PRIMARY AND SECONDARY SCHOOL,BD8 7DA
144805,144805,ALAMIYAH SCHOOL,RM8 2ES
539701,134809,AL-AQSA PRIMARY SCHOOL,LE5 4PP
135097,135097,AL-ASHRAF NURSERY (PG),GL1 4HB
514927,EY449008,ALDERLEY EDGE SCHOOL FOR GIRLS NURSERY,SK9 7QE
131131,131131,AL-FURQAAN PREPARATORY SCHOOL,WF13 2JR
670567,670567,AL-IKHLAAS NURSERY,BB9 7SY
539728,EY373416,AL-ISLAMIA PRIMARY- PRE SCHOOL,LE2 0SA
134585,134585,AL-KHAIR SCHOOL,CR0 6BE
123909,0,ALL HALLOWS SCHOOL,BA4 4SF
115403,EY394029,ALLEYN COURT PREPARATORY SCHOOL,SS3 0PY
531640,ISC9947,ALLEYN'S JUNIOR SCHOOL,SE22 8SU
551148,EY240475,ALPHA PREPARATORY SCHOOL NURSERY,HA1 1SH
515253,EY403561,ALTON SCHOOL NURSERY EY403561,GU34 2NG
125346,6052,AMESBURY SCHOOL,GU26 6BL
556717,136162,ANNAN SCHOOL KINDERGARTEN,TN22 5RE
126620,216620,APEX PRIMARY SCHOOL,IG1 3BG
518214,EY286886,ASHBRIDGE SCHOOL AND NURSERY,PR4 4AQ
118937,,ASHFORD SCHOOL,TN23 3DJ
521051,,ASHTON HOUSE,TW7 4LW
513235,EX35,ASHVILLE COLLEGE PRE-PREP SCHOOL,HG2 9JP
135988,135988,ASSUNNAH PRIMARY SCHOOL,N17 6SB
721450,147208,ATERES ELISHEVA GIRLS PRIMARY SCHOOL,M7 4JD
552406,EY408483,AUCKLAND COLLEGE DAYCARE,L17 4LE
516316,,AUSTIN FRIARS PRE-SCHOOL,CA3 9PB
105122,EY298338,AVALON SCHOOL,CH48 2HE
101962,EY101962,AVENUE HOUSE SCHOOL,W13 8LS
515630,126523,AVONDALE SCHOOL,SP4 9DR
120731,,AYSCOUGHFEE HALL SCHOOL,PE11 2TE
601276,EY143048,AZBUKA FOUNDATION/ RUSSIAN-ENGLISH BILINGUAL SCHOOL,W6 0JS
613324,134417,AZHAR ACADEMY PRIMARY SCHOOL,E11 3HN
525322,,BADGERS NURSERY,BH21 3RF
580697,EY296659,BADMINTON JUNIOR SCHOOL,BS9 3BA
519934,116524,BALLARD SCHOOL 850/6012,BH25 5SU
125318,6001,BANSTEAD PREPARATORY SCHOOL,SM7 3RA
520032,6308,BARFIELD SCHOOL NURSERY,GU10 1PB
582990,113018,BARLBOROUGH HALL SCHOOL (EY),S43 4TJ
131261,131261,BARNET HILL ACADEMY,NW4 3ES
548636,6104,BARROW HILLS PRE PREPARATORY,GU8 5NY
511051,EY559865,BATTLE ABBEY PREP SCHOOL NURSERY,TN40 2NH
510708,EY255638,BCS PREP KINDERGARTEN,BH14 9JY
