EstablishmentName,EstablishmentPostcode,gias_urn
ST HILDA'S SCHOOL (HARPENDEN),AL5 2ES,117627
THE KING'S SCHOOL,AL5 4DU,117650
SHERRARDSWOOD NURSERY,AL6 0BJ,117622
AL AMEEN NURSERY,B11 2JR,130244
ST GEORGES SCHOOL NURSERY,B15 1RX,103564
WEST HOUSE NURSERY,B15 2NX,103575
PRIORY POPPETS,B15 2UR,103566
HALLFIELD PRE-PREP  NURSERY DEPT,B15 3SJ,103568
EDGBASTON HIGH SCHOOL FOR GIRLS,B15 3TS,103567
THE BLUE COAT SCHOOL,B17 0HR,103580
THE LAMBS CHRISTIAN SCHOOL,B19 1AY,134091
BROMSGROVE PRE-PREP & NURSERY SCHOOL,B60 4JS,117012
HIGHCLARE WOODFIELD NURSERY,B72 1EA,103576
THE SHRUBBERY SCHOOL,B76 1HY,103578
KINGSWOOD SCHOOL NURSERY,B90 2BA,104128
EVERSFIELD PREPARATORY SCHOOL NURSERY,B91 1AT,104122
RUCKLEIGH SCHOOL NURSERY,B91 2AB,104127
SOLIHULL SCHOOL,B91 3DJ,104124
HENLEY IN ARDEN MONTESSORI PRIMARY SCHOOL,B95 5JP,135418
KING EDWARDS PRE-PREP SCHOOL,BA1 4AQ,109374
KINGSWOOD PREPARATORY SCHOOL,BA1 5SD,109349
ROYAL HIGH SCHOOL GDST,BA1 5SZ,109348
SUNNY HILL NURSERY,BA10 0NT,123904
SPRINGMEAD SCHOOL,BA11 6TA,134116
THE PARAGON SCHOOL  JUNIOR SCHOOL OF PRIOR PARK COLLEGE,BA2 4LT,109350
MONKTON PREP SCHOOL,BA2 7ET,109379
HAZLEGROVE PREPARATORY SCHOOL,BA22 7JA,123931
ALL HALLOWS SCHOOL,BA4 4SF,123909
LITTLE WELLIES NURSERY (WELLS CATHEDRAL SCHOOL),BA5 2ST,123916
MILLFIELD PRE-PREPARATORY SCHOOL,BA6 8LD,123921
RAWDHATUL ULOOM SCHOOL,BB10 1LU,135219
ST JOSEPH'S PARK HILL SCHOOL,BB12 6TG,119832
MOORLAND NURSERY,BB7 2JA,119820
OAKHILL NURSERY AND EARLY YEARS,BB7 9AF,119833
AL-IKHLAAS NURSERY,BB9 7SY,136098
BRONTE HOUSE SCHOOL (NURSERY),BD10 0PQ,108114
BRADFORD CHRISTIAN SCHOOL,BD2 1BT,107461
GIGGLESWICK JUNIOR SCHOOL EARLY YEARS UNIT,BD24 0DG,121392
CRYSTAL GARDENS PRIMARY SCHOOL,BD5 7PE,130857
AL MUMIN PRIMARY AND SECONDARY SCHOOL,BD8 7DA,134429
ISLAMIC TARBIYYAH PREPARATORY SCHOOL,BD8 8AW,133453
BCS PREP KINDERGARTEN,BH14 9JY,113929
BADGERS NURSERY,BH21 3RF,113931
DUMPTON NURSERY,BH21 7AF,113923
MOYLES COURT SCHOOL NURSERY 116559,BH24 3NF,116559
BALLARD SCHOOL 850/6012,BH25 5SU,116524
DURLSTON COURT SCHOOL (KINDERGARTEN DEPARTMENT) 850/6056,BH25 7AQ,116522
ST MARTIN'S SCHOOL,BH3 7NA,113940
TALBOT HEATH SCHOOL,BH4 9NJ,113945
THE PARK SCHOOL,BH8 9BJ,113939
TALBOT HOUSE PREPARATORY SCHOOL,BH9 2LR,113941
CLEVELANDS PREPARATORY SCHOOL,BL1 5DH,105270
WINDLESHAM SCHOOL TRUST LTD,BN1 5AA,114618
BRIGHTON & HOVE MONTESSORI,BN1 6FB,133348
OUR LADY OF SION NURSERY,BN11 1RE,126115
LANCING COLLEGE PREPARATORY SCHOOL AT WORTHING,BN14 8HU,126114
SOMPTING ABBOTTS SCHOOL,BN15 0AZ,126121
BRIGHTON COLLEGE NURSERY & PRE PREP SCHOOL,BN2 5JJ,114621
THE BRIGHTON WALDORF SCHOOL,BN2 5RA,114661
ST ANDREW'S PREP NURSERY,BN20 7RP,114652
BEDE'S NURSERY,BN20 7XL,114653
THE MONTESSORI PLACE,BN3 3ER,136947
LANCING COLLEGE PREPARATORY SCHOOL AT HOVE,BN3 6LU,114626
SHOREHAM COLLEGE,BN43 6YW,126112
HURST PRE-PREP,BN6 9JS,126136
BICKLEY PARK PRE-PREPARATORY BOYS ONLY,BR1 2DS,101682
BREASIDE PREPARATORY,BR1 2PR,101684
BISHOP CHALLONER PRE-SCHOOL,BR2 0BS,101683
ST CHRISTOPHERS HALL SCHOOL,BR3 5PA,101687
ST DAVIDS PREP - EARLY YEARS,BR4 0QS,101690
WICKHAM COURT SCHOOL,BR4 9HW,134175
FARRINGTONS PRE SCHOOL,BR7 6LR,101685
COLLEGIATE SCHOOL BRISTOL,BS16 1BA,109336
GRACEFIELD PREPARATORY SCHOOL,BS16 2RG,109343
SIDCOT SCHOOL,BS25 1PD,109362
CLEVE HOUSE SCHOOL,BS4 2PN,109339
THE DOWNS SCHOOL,BS48 1PF,109361
BERTIE'S NURSERY SCHOOL,BS48 1PF,109361
FAIRFIELD PNEU SCHOOL,BS48 3PD,109363
BRISTOL STEINER SCHOOL,BS6 6UX,109345
TORWOOD HOUSE NURSERY SCHOOL,BS6 6XE,109341
CLIFTON HIGH SCHOOL,BS8 3JD,109335
BADMINTON JUNIOR SCHOOL,BS9 3BA,109337
HUNTER HALL SCHOOL - PRE SCHOOL,CA11 8UA,112459
AUSTIN FRIARS PRE-SCHOOL,CA3 9PB,112453
CAMBRIDGE STEINER SCHOOL KINDERGARTEN,CB21 5DZ,131937
FAIRSTEAD HOUSE SCHOOL,CB8 7AA,124872
THE QUEENS LOWER SCHOOL,CH2 1AW,111486
FIRS EDUCATION LTD,CH2 2HJ,111470
BIRKENHEAD PREPARATORY SCHOOL,CH43 2JD,105123
PRENTON PREPARATORY SCHOOL,CH43 5SY,105118
AVALON SCHOOL,CH48 2HE,105122
ST JOHNS SCHOOL,CM12 0AR,115399
URSULINE PREPARATORY SCHOOL,CM13 3HR,115428
COOPERSALE HALL SCHOOL,CM16 7PE,115435
ST NICHOLAS SCHOOL (HARLOW) LIMITED,CM17 0NJ,115417
ST ANNES PREPARATORY SCHOOL,CM2 0AW,115388
WIDFORD LODGE PREPARATORY SCHOOL,CM2 9AN,115391
HOWE GREEN HOUSE SCHOOL,CM22 7UF,115433
NEW HALL PREPARATORY SCHOOL,CM3 3HS,115387
HEATHCOTE SCHOOL LIMITED,CM3 4QB,115412
OXFORD HOUSE,CO3 3NE,115424
ST MARYS SCHOOL,CO3 8LT,115394
HOLMWOOD HOUSE PREP SCHOOL  CHITTS HILL,CO3 9ST,115410
HOLMWOOD HOUSE SCHOOL LTD - GREAT HORKESLEY,CO3 9ST,115410
GOSFIELD SCHOOL,CO9 1PF,115396
OAKWOOD NURSERY,CR0 5RD,131042
AL-KHAIR SCHOOL,CR0 6BE,134585
CUMNOR HOUSE CROYDON,CR2 6DH,101829
ELMHURST SCHOOL,CR2 7DW,101831
OLD PALACE OF JOHN WHITGIFT SCHOOL (NURSERY),CR2 7YN,101846
CROYDON HIGH SCHOOL,CR2 8YB,101845
ESSENDENE LODGE SCHOOL,CR3 5PB,125420
OAKHYRST GRANGE SCHOOL,CR3 6AF,125372
DATE VALLEY SCHOOL TRUST,CR4 4LB,109774
WARLINGHAM PARK NURSERY,CR6 9PB,125435
ST DAVID'S SCHOOL NURSERY,CR8 3AL,101839
CUMNOR HOUSE PURLEY,CR8 3HB,136226
LALEHAM LEA PREPARATORY SCHOOL,CR8 3JJ,101834
ROYAL RUSSELL SCHOOL,CR9 5BX,101835
WELLESLEY HOUSE SCHOOL,CT10 2DG,118938
NORTHBOURNE PARK PRE-PREP SCHOOL,CT14 0NJ,118941
DOVER COLLEGE,CT17 9RH,118940
JUNIOR KING'S SCHOOL - (NURSERY UNIT),CT2 0AY,119010
ST EDMUND''S PRE-PREP AND NURSERY,CT2 8HU,118998
KENT COLLEGE INFANT & JUNIOR SCHOOL,CT2 9AQ,119020
SANDCASTLES NURSERY - ST FAITH'S AT ASH SCHOOL LTD,CT3 2HH,119008
NEW SCHOOL CANTERBURY LTD,CT4 5RU,147331
CHARTFIELD PRIVATE SCHOOL,CT8 8DA,118977
BILTON GRANGE PREP SCHOOL,CV22 6QU,125773
CRESCENT SCHOOL NURSERY,CV22 7QH,125784
PATTISON COLLEGE,CV3 1FQ,103747
THE KINGSLEY SCHOOL,CV32 5RD,125775
WARWICK PREPARATORY SCHOOL,CV34 6PL,125780
STRATFORD PREPARATORY SCHOOL,CV37 6BG,125791
THE CROFT NURSERY,CV37 7RL,125778
DAVENPORT LODGE NURSERYSCHOOL,CV5 6QA,103748
LOTE TREE PRIMARY SCHOOL,CV6 5JQ,103753
CRACKLEY HALL SCHOOL,CV8 2FT,125772
THE GRANGE JUNIOR SCHOOL,CW8 3AU,131148
CRANSLEY SCHOOL,CW9 6HN,111483
