Provider URN,Registration date,Provider type,Provider status,Individual register combinations,Provider name,Provider address line 1,Provider address line 2,Provider address line 3,Postcode,Local authority
CA000006,,Childminder agency,Active,"EYR, CCR, VCR",Daryel Care,108 Regent Studios,1 Thane Villas,London,N7 7PH,Islington 
CA000012,,Childminder agency,Active,"EYR, CCR, VCR",City Childcare Childminding Agency,157 - 159 St. Barnabas Road ,Woodford Green ,,IG8 7DG,Redbridge
CA000017,,Childminder agency,Active,"EYR, CCR, VCR",Orange Moon Childcare Community Interest Company t/a @Home Childcare,Sherwood Rise Business Centre ,6 Sherwood Rise,Nottingham ,NG7 6JF ,Nottingham
CA000026,,Childminder agency,Active,"EYR, CCR, VCR",Suffolk Childcare Agency Limited,"High House, High Street ",Wickham Market ,,IP13 0RD ,Suffolk
CA000038,,Childminder agency,Active,"EYR, CCR, VCR",tiney,International House,12 Constance Street,London,E16 2DQ,Newham
CA000045,,Childminder agency,Active,"EYR, CCR, VCR","Koru Kids, registered as Rua Kids Ltd",128 City Road,London,,EC1V 2NX,Islington 
CA000067,,Childminder agency,Active,"EYR, CCR, VCR",Unique Support Early Years Agency,50 Duchess of Kent Drive,Lordswood,Chatham,ME5 8DD,Medway
EY438649,02/12/2011,Childminder,Active,EYR-CCR,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bromley
EY390477,29/04/2009,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cambridgeshire
225540,22/05/1997,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire
EY276488,06/01/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Sussex
EY284355,11/05/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Milton Keynes
2734368,06/06/2023,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Dorset
EY366548,26/02/2008,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Doncaster
EY219555,25/11/2002,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Tower Hamlets
EY233901,11/11/2002,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,York
EY339898,22/09/2006,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Wakefield
EY304425,11/04/2005,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Southwark
147472,13/12/1999,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet
EY415402,20/08/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Essex
402737,14/03/1997,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hackney
EY455651,25/01/2013,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Wiltshire
510728,02/03/1999,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bexley
319567,01/01/1996,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leeds
EY297191,01/12/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hertfordshire
EY410211,01/06/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sheffield
EY356295,31/08/2007,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hackney
EY475001,27/03/2014,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hertfordshire
128761,11/05/1998,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lewisham
EY273259,18/11/2003,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kirklees
EY404905,22/02/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Wandsworth
137703,09/11/1992,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Brent
EY290498,07/09/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Southend on Sea
124565,04/09/1996,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon
EY429124,08/08/2011,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Surrey
EY336368,08/08/2006,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Waltham Forest
136825,28/07/1999,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bromley
EY433702,22/11/2011,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet
EY413284,14/10/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Redcar and Cleveland
EY476063,15/05/2014,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham
401113,19/01/1994,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North Yorkshire
EY290673,23/07/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Harrow
224299,15/04/1992,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Coventry
133230,15/12/1995,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Islington
141145,08/11/1993,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Essex
203136,18/08/1998,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Essex
225616,16/05/1986,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire
EY350245,04/06/2007,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sutton
139527,05/03/2001,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sutton
EY418228,18/11/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire
EY484638,09/12/2014,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet
EY464059,18/12/2013,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South Gloucestershire
111996,25/02/1992,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hampshire
EY479797,17/07/2014,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Wirral
EY416502,01/11/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon
EY285542,07/06/2004,Childminder,Active,EYR-CCR,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Coventry
116083,02/10/2000,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hounslow
EY372230,14/04/2008,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,York
EY463403,05/07/2013,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Derbyshire
103362,04/02/1997,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Medway
EY312570,26/08/2005,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Stockport
504727,04/07/1994,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham
2813541,17/12/2024,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Stoke-on-Trent
EY417789,05/01/2011,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Worcestershire
EY289259,10/08/2004,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Stockport
EY470467,27/11/2013,Childminder,Active,EYR-CCR,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Merton
EY453459,19/12/2012,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Southend on Sea
EY414970,23/08/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Derbyshire
EY440016,24/01/2012,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Westmorland and Furness
EY396207,09/07/2009,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hampshire
EY438646,26/01/2012,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet
EY410954,22/06/2010,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bolton
EY425959,25/05/2011,Childminder,Active,ALL,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon
